invoice_id,user_id,product_id,price,purchase_date
INV_000000,USR_01344,PROD_04364,107.73,2023-08-03
INV_000001,USR_01037,PROD_04215,192.76,2023-10-28
INV_000002,USR_00045,PROD_02516,43.31,2023-03-11
INV_000003,USR_00218,PROD_04026,346.52,2023-09-01
INV_000004,USR_01312,PROD_02559,70.8,2023-02-26
INV_000005,USR_00565,PROD_01027,85.09,2023-07-17
INV_000006,USR_00751,PROD_01615,87.33,2023-09-26
INV_000007,USR_01225,PROD_04351,68.47,2023-07-09
INV_000008,USR_00950,PROD_02735,41.78,2023-11-17
INV_000009,USR_00406,PROD_00794,286.01,2023-09-24
INV_000010,USR_01103,PROD_04187,35.08,2023-04-21
INV_000011,USR_00082,PROD_04505,28.68,2023-12-02
INV_000012,USR_00770,PROD_03942,30.77,2023-08-02
INV_000013,USR_00664,PROD_00364,33.63,2023-04-15
INV_000014,USR_00209,PROD_04230,31.11,2023-11-18
INV_000015,USR_01606,PROD_04599,49.16,2023-09-28
INV_000016,USR_00683,PROD_02170,151.39,2023-01-02
INV_000017,USR_01233,PROD_02541,340.49,2023-07-06
INV_000018,USR_00062,PROD_03965,67.82,2023-11-25
INV_000019,USR_00519,PROD_04340,39.06,2023-05-26
INV_000020,USR_01116,PROD_04379,154.66,2023-05-24
INV_000021,USR_00710,PROD_04090,28.48,2023-12-23
INV_000022,USR_00931,PROD_04750,77.4,2023-06-01
INV_000023,USR_00821,PROD_02244,45.79,2023-01-13
INV_000024,USR_01818,PROD_04210,44.39,2023-04-17
INV_000025,USR_01931,PROD_02553,9.8,2023-07-18
INV_000026,USR_00330,PROD_03043,40.19,2023-12-09
INV_000027,USR_01879,PROD_04049,103.22,2023-11-27
INV_000028,USR_00264,PROD_04677,90.22,2023-03-01
INV_000029,USR_01703,PROD_03077,65.2,2023-04-03
INV_000030,USR_01164,PROD_04377,37.74,2023-02-13
INV_000031,USR_01716,PROD_02951,59.17,2023-12-08
INV_000032,USR_00402,PROD_01256,60.18,2023-10-21
INV_000033,USR_00191,PROD_04502,40.97,2023-11-25
INV_000034,USR_01606,PROD_02082,69.59,2023-02-28
INV_000035,USR_01734,PROD_02379,31.16,2023-12-20
INV_000036,USR_00016,PROD_00853,45.51,2023-09-20
INV_000037,USR_00002,PROD_01301,28.7,2023-06-04
INV_000038,USR_00166,PROD_01616,25.06,2023-11-22
INV_000039,USR_00738,PROD_02399,51.21,2023-03-13
