product_id,category,price,rating,popularity,discount_pct,created_at
PROD_00000,Toys,33.53,2.43,614,16.9,2022-01-01 00:00:00
PROD_00001,Books,24.87,3.43,630,11.1,2022-01-01 01:00:00
PROD_00002,Sports,40.64,3.51,2612,45.5,2022-01-01 02:00:00
PROD_00003,Toys,66.4,3.18,2193,17.2,2022-01-01 03:00:00
PROD_00004,Home & Kitchen,67.66,3.52,3810,7.3,2022-01-01 04:00:00
PROD_00005,Automotive,170.91,4.63,165,4.6,2022-01-01 05:00:00
PROD_00006,Sports,81.49,3.23,3363,11.5,2022-01-01 06:00:00
PROD_00007,Sports,18.2,4.24,3921,8.9,2022-01-01 07:00:00
PROD_00008,Toys,75.62,3.03,2927,9.9,2022-01-01 08:00:00
PROD_00009,Clothing,29.79,3.65,3127,4.2,2022-01-01 09:00:00
PROD_00010,Home & Kitchen,37.77,4.06,2725,5.6,2022-01-01 10:00:00
PROD_00011,Toys,40.92,3.0,4349,8.2,2022-01-01 11:00:00
PROD_00012,Home & Kitchen,44.32,2.75,459,18.3,2022-01-01 12:00:00
PROD_00013,Home & Kitchen,30.85,4.19,4859,14.4,2022-01-01 13:00:00
PROD_00014,Automotive,72.96,4.7,4511,1.3,2022-01-01 14:00:00
PROD_00015,Sports,30.34,3.74,3971,2.8,2022-01-01 15:00:00
PROD_00016,Books,53.4,3.43,1079,0.3,2022-01-01 16:00:00
PROD_00017,Automotive,271.36,3.92,4027,0.1,2022-01-01 17:00:00
PROD_00018,Automotive,31.53,3.84,4854,2.5,2022-01-01 18:00:00
PROD_00019,Home & Kitchen,54.74,3.99,3601,16.1,2022-01-01 19:00:00
PROD_00020,Beauty,19.33,1.78,2829,23.5,2022-01-01 20:00:00
PROD_00021,Sports,54.23,,2295,5.0,2022-01-01 21:00:00
PROD_00022,Clothing,95.62,3.12,2045,8.3,2022-01-01 22:00:00
PROD_00023,Automotive,100.42,3.92,1200,12.2,2022-01-01 23:00:00
PROD_00024,Books,8.96,3.95,1409,30.6,2022-01-02 00:00:00
PROD_00025,Beauty,111.75,4.31,3750,24.4,2022-01-02 01:00:00
PROD_00026,Beauty,334.48,4.01,2258,0.6,2022-01-02 02:00:00
PROD_00027,Clothing,191.02,2.76,2803,2.9,2022-01-02 03:00:00
PROD_00028,Automotive,47.87,4.96,733,0.5,2022-01-02 04:00:00
PROD_00029,Books,44.44,4.82,1451,9.6,2022-01-02 05:00:00
PROD_00030,Sports,51.09,2.79,4830,12.4,2022-01-02 06:00:00
PROD_00031,Electronics,431.23,4.07,96,3.7,2022-01-02 07:00:00
PROD_00032,Books,20.54,3.32,4159,19.2,2022-01-02 08:00:00
PROD_00033,Clothing,33.88,3.91,1761,6.0,2022-01-02 09:00:00
PROD_00034,Beauty,61.88,4.64,3430,60.0,2022-01-02 10:00:00
PROD_00035,Sports,108.16,5.0,4847,0.0,2022-01-02 11:00:00
PROD_00036,Books,29.92,4.4,2493,1.2,2022-01-02 12:00:00
PROD_00037,Electronics,134.84,4.04,3222,3.6,2022-01-02 13:00:00
PROD_00038,Electronics,142.57,3.53,3932,0.3,2022-01-02 14:00:00
PROD_00039,Home & Kitchen,24.65,3.95,2499,15.2,2022-01-02 15:00:00
PROD_00040,Home & Kitchen,53.4,4.89,1496,0.5,2022-01-02 16:00:00
PROD_00041,Toys,63.03,3.76,3537,13.8,2022-01-02 17:00:00
PROD_00042,Clothing,65.21,3.09,82,0.5,2022-01-02 18:00:00
PROD_00043,Automotive,71.95,2.5,734,2.9,2022-01-02 19:00:00
PROD_00044,Books,54.12,4.21,3764,18.4,2022-01-02 20:00:00
PROD_00045,Books,50.3,4.0,3005,30.2,2022-01-02 21:00:00
PROD_00046,Automotive,52.2,3.28,4375,5.4,2022-01-02 22:00:00
PROD_00047,Toys,51.05,4.62,228,35.0,2022-01-02 23:00:00
PROD_00048,Beauty,45.59,3.46,556,9.9,2022-01-03 00:00:00
PROD_00049,Beauty,104.75,3.69,3739,5.4,2022-01-03 01:00:00
PROD_00050,Toys,44.72,3.79,1978,16.2,2022-01-03 02:00:00
PROD_00051,Beauty,108.76,3.52,4526,3.5,2022-01-03 03:00:00
PROD_00052,Home & Kitchen,65.33,3.99,1269,3.1,2022-01-03 04:00:00
PROD_00053,Books,36.07,4.72,2943,,2022-01-03 05:00:00
PROD_00054,Toys,94.17,,2519,5.0,2022-01-03 06:00:00
PROD_00055,Books,17.19,4.19,4018,1.5,2022-01-03 07:00:00
PROD_00056,Automotive,95.35,3.94,4082,0.7,2022-01-03 08:00:00
PROD_00057,Electronics,90.79,3.92,4690,15.5,2022-01-03 09:00:00
PROD_00058,Home & Kitchen,45.97,4.5,1572,11.3,2022-01-03 10:00:00
PROD_00059,Sports,89.05,3.84,2095,5.3,2022-01-03 11:00:00
PROD_00060,Home & Kitchen,90.05,4.18,1799,22.7,2022-01-03 12:00:00
PROD_00061,Toys,132.76,4.37,3679,5.3,2022-01-03 13:00:00
PROD_00062,Sports,117.37,3.4,2491,12.4,2022-01-03 14:00:00
PROD_00063,Electronics,283.46,4.04,3440,24.0,2022-01-03 15:00:00
PROD_00064,Toys,34.8,3.6,214,18.4,2022-01-03 16:00:00
PROD_00065,Clothing,313.08,3.69,751,7.2,2022-01-03 17:00:00
PROD_00066,Books,12.65,3.54,2898,11.4,2022-01-03 18:00:00
PROD_00067,Electronics,165.12,4.18,3504,5.3,2022-01-03 19:00:00
PROD_00068,Books,9.54,3.87,4273,10.4,2022-01-03 20:00:00
PROD_00069,Beauty,34.0,4.12,4747,3.0,2022-01-03 21:00:00
PROD_00070,Clothing,60.05,3.79,1115,5.7,2022-01-03 22:00:00
PROD_00071,Clothing,61.67,2.52,1833,2.4,2022-01-03 23:00:00
PROD_00072,Electronics,571.44,3.83,2657,0.4,2022-01-04 00:00:00
PROD_00073,Clothing,43.14,3.85,4207,8.9,2022-01-04 01:00:00
PROD_00074,Sports,55.45,3.99,98,20.0,2022-01-04 02:00:00
PROD_00075,Clothing,20.64,3.33,3391,0.3,2022-01-04 03:00:00
PROD_00076,Books,14.29,2.84,4713,2.2,2022-01-04 04:00:00
PROD_00077,Books,18.26,4.3,3521,6.2,2022-01-04 05:00:00
PROD_00078,Toys,78.64,3.58,2216,11.0,2022-01-04 06:00:00
PROD_00079,Books,23.79,3.94,3195,1.9,2022-01-04 07:00:00
PROD_00080,Toys,60.98,3.57,4391,0.6,2022-01-04 08:00:00
PROD_00081,Books,7.16,3.8,874,7.3,2022-01-04 09:00:00
PROD_00082,Sports,185.89,3.44,64,17.1,2022-01-04 10:00:00
PROD_00083,Automotive,75.11,3.03,4681,0.4,2022-01-04 11:00:00
PROD_00084,Toys,96.36,,2090,4.3,2022-01-04 12:00:00
PROD_00085,Home & Kitchen,78.73,3.32,567,10.9,2022-01-04 13:00:00
PROD_00086,Beauty,121.3,3.93,4836,1.4,2022-01-04 14:00:00
PROD_00087,Electronics,277.04,4.13,1002,2.7,2022-01-04 15:00:00
PROD_00088,Books,44.52,3.33,4906,7.7,2022-01-04 16:00:00
PROD_00089,Clothing,128.79,2.84,4301,30.6,2022-01-04 17:00:00
PROD_00090,Automotive,126.49,5.0,457,3.4,2022-01-04 18:00:00
PROD_00091,Books,34.87,3.38,1831,6.7,2022-01-04 19:00:00
PROD_00092,Clothing,58.53,4.3,3829,5.1,2022-01-04 20:00:00
PROD_00093,Beauty,74.56,5.0,2982,22.8,2022-01-04 21:00:00
PROD_00094,Beauty,30.91,4.43,101,0.7,2022-01-04 22:00:00
PROD_00095,Beauty,176.74,3.56,617,8.4,2022-01-04 23:00:00
PROD_00096,Clothing,64.13,3.75,1261,18.7,2022-01-05 00:00:00
PROD_00097,Books,40.3,3.13,295,44.3,2022-01-05 01:00:00
PROD_00098,Beauty,46.46,4.51,2931,12.0,2022-01-05 02:00:00
PROD_00099,Sports,31.57,4.25,3316,4.8,2022-01-05 03:00:00
PROD_00100,Toys,45.77,3.39,111,5.3,2022-01-05 04:00:00
PROD_00101,Clothing,73.65,2.97,3845,4.3,2022-01-05 05:00:00
PROD_00102,Clothing,97.48,2.74,4245,9.3,2022-01-05 06:00:00
PROD_00103,Books,15.91,4.59,4940,13.4,2022-01-05 07:00:00
PROD_00104,Clothing,79.6,3.9,1688,17.1,2022-01-05 08:00:00
PROD_00105,Clothing,53.12,3.97,3833,5.4,2022-01-05 09:00:00
PROD_00106,Beauty,87.28,3.14,544,12.6,2022-01-05 10:00:00
